setup,sl_pct,t1r,t2r,t1q_pct,time_stop,pre_n,pre_pf,pre_wr,pre_win_mo_pct,pre_top_mo_pct,post_n,post_pf,post_wr,post_net,post_win_mo_pct,post_top_mo_pct
c4b,0.2,0.5,1.5,0,13:00,1088,0.907,46.0,40.0,69.3,978,0.826,43.9,-74185.0,26.7,31.3
c4a,0.2,0.5,1.5,0,14:30,1252,0.775,41.1,40.0,28.2,1119,0.877,45.5,-59240.0,20.0,86.8
c4b,0.2,0.5,1.5,0,14:30,1088,0.923,44.5,48.0,77.4,978,0.802,42.3,-93053.0,26.7,30.7
c4a,0.2,0.5,1.5,50,11:30,1252,0.749,51.8,28.0,19.9,1119,0.805,54.8,-65962.0,20.0,27.0
c4b,0.2,0.5,1.5,50,11:30,1088,0.912,58.4,44.0,70.5,978,0.827,55.1,-51531.0,33.3,40.6
c4a,0.2,0.5,1.5,50,13:00,1252,0.802,54.6,40.0,25.1,1119,0.863,56.0,-48013.0,26.7,61.0
c4b,0.2,0.5,1.5,50,13:00,1088,0.996,61.3,56.0,1436.7,978,0.883,58.6,-36495.0,33.3,41.4
c4a,0.2,0.5,1.5,50,14:30,1252,0.844,56.5,40.0,32.8,1119,0.931,58.5,-24630.0,33.3,146.3
c4b,0.2,0.5,1.5,50,14:30,1088,1.026,61.9,52.0,212.7,978,0.877,58.0,-40826.0,26.7,34.5
c4a,0.2,0.5,2.0,0,11:30,1252,0.717,40.1,36.0,22.2,1119,0.79,43.8,-90870.0,13.3,34.8
c4b,0.2,0.5,2.0,0,11:30,1088,0.814,43.8,32.0,34.0,978,0.767,42.3,-91937.0,40.0,35.1
c4a,0.2,0.5,2.0,0,13:00,1252,0.752,40.2,36.0,25.2,1119,0.819,41.7,-86527.0,13.3,57.1
c4b,0.2,0.5,2.0,0,13:00,1088,0.899,44.2,40.0,61.0,978,0.856,42.5,-62546.0,40.0,38.9
c4a,0.2,0.5,2.0,0,14:30,1252,0.787,40.1,36.0,33.7,1119,0.885,44.0,-57525.0,20.0,105.9
c4b,0.2,0.5,2.0,0,14:30,1088,0.912,42.5,40.0,64.3,978,0.82,41.2,-86261.0,33.3,34.5
c4a,0.2,0.5,2.0,50,11:30,1252,0.761,51.8,32.0,20.2,1119,0.818,54.7,-61446.0,20.0,32.7
c4b,0.2,0.5,2.0,50,11:30,1088,0.901,58.3,28.0,61.7,978,0.819,54.8,-53954.0,33.3,42.1
c4a,0.2,0.5,2.0,50,13:00,1252,0.809,54.4,36.0,25.4,1119,0.873,55.9,-44567.0,20.0,75.9
c4b,0.2,0.5,2.0,50,13:00,1088,1.006,60.9,44.0,1074.2,978,0.915,58.6,-26512.0,33.3,59.3
c4a,0.2,0.5,2.0,50,14:30,1252,0.856,56.4,44.0,35.2,1119,0.947,58.1,-18780.0,33.3,228.5
c4b,0.2,0.5,2.0,50,14:30,1088,1.041,61.6,40.0,134.2,978,0.9,57.9,-33316.0,33.3,42.0
c4a,0.2,0.5,2.5,0,11:30,1252,0.715,39.9,36.0,21.5,1119,0.788,43.3,-92310.0,13.3,42.8
c4b,0.2,0.5,2.5,0,11:30,1088,0.82,43.5,32.0,36.7,978,0.793,42.3,-81462.0,40.0,39.1
c4a,0.2,0.5,2.5,0,13:00,1252,0.756,39.9,36.0,24.8,1119,0.81,41.1,-91672.0,20.0,69.5
c4b,0.2,0.5,2.5,0,13:00,1088,0.901,43.6,48.0,64.8,978,0.892,42.3,-47328.0,33.3,51.4
c4a,0.2,0.5,2.5,0,14:30,1252,0.794,39.7,36.0,33.4,1119,0.879,43.2,-61052.0,20.0,114.0
c4b,0.2,0.5,2.5,0,14:30,1088,0.91,41.7,44.0,65.7,978,0.858,40.9,-68416.0,33.3,43.6
c4a,0.2,0.5,2.5,50,11:30,1252,0.761,51.8,40.0,19.7,1119,0.818,54.5,-61677.0,20.0,31.7
c4b,0.2,0.5,2.5,50,11:30,1088,0.908,58.2,36.0,68.4,978,0.836,54.8,-48652.0,40.0,46.2
c4a,0.2,0.5,2.5,50,13:00,1252,0.814,54.4,36.0,25.0,1119,0.87,55.9,-45692.0,33.3,78.7
c4b,0.2,0.5,2.5,50,13:00,1088,1.012,60.8,44.0,501.7,978,0.943,58.6,-17827.0,33.3,86.7
c4a,0.2,0.5,2.5,50,14:30,1252,0.864,56.3,40.0,35.9,1119,0.949,58.0,-18063.0,33.3,264.7
c4b,0.2,0.5,2.5,50,14:30,1088,1.047,61.6,44.0,122.8,978,0.93,57.8,-23386.0,33.3,57.5
