month,symbol,day,med,hi,lo,hi_dev,lo_dev,bars
2026_02,ZFCVINDIA,2026-02-05,2537.0,15269.0,2512.0,5.018525817895152,0.009854158454867923,375
2026_02,ZFCVINDIA,2026-02-06,2520.0,15196.0,2454.0,5.03015873015873,0.02619047619047621,375
2026_02,ZFCVINDIA,2026-02-19,15257.0,15816.0,2537.0,0.03663891984007339,0.8337156714950514,375
2026_02,ZFCVINDIA,2026-02-20,15225.0,15499.0,2533.0,0.017996715927750317,0.8336288998357964,375
2026_02,ZFCVINDIA,2026-02-26,2593.0,15645.0,2546.0,5.033551870420363,0.018125723100655633,375
2026_02,ZFCVINDIA,2026-02-27,15050.0,15403.0,2495.0,0.023455149501661055,0.83421926910299,375
2026_03,CUPID,2026-03-04,75.75,385.9,74.35,4.094389438943894,0.018481848184818572,375
2026_03,CUPID,2026-03-05,81.25,411.5,78.0,4.064615384615385,0.040000000000000036,375
2026_03,ECLERX,2026-03-04,1595.0,3263.3,1497.4,1.0459561128526649,0.06119122257053289,375
2026_03,ECLERX,2026-03-05,1567.5,3208.3,1535.4,1.046762360446571,0.02047846889952143,375
2026_03,ECLERX,2026-03-06,1527.8,3196.4,1506.2,1.0921586595104071,0.014137976174891986,375
2026_03,ECLERX,2026-03-09,1497.0,3029.9,1470.5,1.023981295925184,0.017702070808283232,375
2026_03,HIRECT,2026-03-04,665.0,1349.9,650.0,1.0299248120300755,0.022556390977443663,375
2026_03,HIRECT,2026-03-05,671.8,1366.9,663.4,1.0346829413515932,0.012503721345638596,375
2026_03,HIRECT,2026-03-06,726.3,1470.5,671.0,1.0246454633071735,0.07613933636238468,375
2026_03,HIRECT,2026-03-09,708.0,1430.9,694.0,1.0210451977401132,0.019774011299435013,375
2026_03,HIRECT,2026-03-12,753.4,1546.8,698.4,1.0530926466684365,0.07300238916910007,375
2026_03,HIRECT,2026-03-13,720.0,1508.3,709.0,1.0948611111111108,0.015277777777777724,375
2026_03,HIRECT,2026-03-17,746.3,1509.1,721.0,1.0221090714190004,0.033900576175800556,375
2026_03,HIRECT,2026-03-19,755.6,1520.0,736.2,1.011646373742721,0.02567496029645311,375
2026_03,HIRECT,2026-03-20,767.2,1572.1,741.6,1.049139728884254,0.033368091762252416,375
2026_03,HIRECT,2026-03-23,722.9,1502.5,710.0,1.078434084935676,0.01784479181076215,375
2026_03,HIRECT,2026-03-24,754.5,1521.0,727.5,1.0159045725646125,0.035785288270377746,375
2026_03,KILITCH,2026-03-04,156.75,315.05,155.1,1.0098883572567785,0.010526315789473717,375
2026_03,KILITCH,2026-03-05,160.4,323.0,159.4,1.0137157107231918,0.006234413965087282,370
2026_03,KILITCH,2026-03-06,160.65,323.95,158.7,1.0164954870837222,0.012138188608776912,354
2026_03,KILITCH,2026-03-09,161.1,325.15,155.5,1.0183116076970826,0.03476101800124143,375
2026_03,KILITCH,2026-03-12,161.2,330.0,158.5,1.047146401985112,0.016749379652605367,375
2026_03,KILITCH,2026-03-13,161.9,327.7,154.0,1.0240889437924645,0.04879555281037684,371
2026_03,KILITCH,2026-03-17,159.6,325.0,154.8,1.036340852130326,0.0300751879699247,369
2026_03,KILITCH,2026-03-19,159.25,319.5,157.05,1.0062794348508635,0.013814756671899464,375
2026_03,KILITCH,2026-03-20,158.7,322.0,156.75,1.028985507246377,0.012287334593572674,375
2026_03,RMDRIP,2026-03-02,37.03,63.48,37.03,0.7142857142857142,0.0,375
2026_03,RMDRIP,2026-03-04,33.33,57.14,33.33,0.7143714371437144,0.0,375
2026_03,RMDRIP,2026-03-05,54.29,54.29,31.67,0.0,0.4166513170012893,375
2026_03,RMDRIP,2026-03-06,51.58,51.58,30.09,0.0,0.41663435440093055,375
2026_03,RMDRIP,2026-03-09,49.01,49.01,28.59,0.0,0.41664966333401343,375
