T1_entry_date,symbol,cap_segment,side,entry_hhmm,entry_ts,entry_price,intraday_ret_at_1400_pct,rvol,intraday_high_at_entry,hard_sl,t1_target,stop_distance,hit_t1,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2025-09-09,NSE:PVRINOX,mid_cap,SHORT,1440,2025-09-09 14:40:00,1131.300048828125,2.131485939025879,2.603785528897892,1160.199951171875,1160.199951171875,1125.6435485839843,28.89990234375,True,2025-09-09 15:00:00,1128.4717987060546,breakeven_trail,34,96.16050415039217,40.83969248142198,55.320811668970194
2025-09-29,NSE:PVRINOX,mid_cap,SHORT,1500,2025-09-29 15:00:00,1100.0,1.567220687866211,5.8384253109527835,1114.9000244140625,1114.9000244140625,1094.5,14.9000244140625,False,2025-09-29 15:10:00,1099.5,time_stop_1510,67,33.5,73.347386299,-39.84738629899999
2025-05-08,NSE:QPOWER,mid_cap,SHORT,1455,2025-05-08 14:55:00,339.95001220703125,3.1056761741638184,3.645145283122898,379.75,379.75,338.2502621459961,39.79998779296875,False,2025-05-08 15:10:00,341.0,time_stop_1510,25,-26.24969482421875,9.043635588241578,-35.29333041246033
2025-05-16,NSE:QPOWER,mid_cap,SHORT,1430,2025-05-16 14:30:00,366.75,1.4034152030944824,3.5442920681986654,374.5,374.5,364.91625,7.75,False,2025-05-16 15:10:00,367.25,time_stop_1510,129,-64.5,50.309613516000006,-114.80961351600001
2025-05-27,NSE:QPOWER,mid_cap,SHORT,1440,2025-05-27 14:40:00,439.3999938964844,1.0064005851745605,3.170561562608999,454.8500061035156,454.8500061035156,437.20299392700196,15.45001220703125,False,2025-05-27 15:10:00,439.29998779296875,time_stop_1510,64,6.400390625,29.885276361027337,-23.484885736027337
2025-06-17,NSE:QPOWER,mid_cap,SHORT,1455,2025-06-17 14:55:00,536.4500122070312,2.240288257598877,2.2081061164333087,552.5999755859375,552.5999755859375,533.7677621459961,16.14996337890625,False,2025-06-17 15:10:00,539.25,time_stop_1510,61,-170.79925537109375,34.85085196380944,-205.6501073349032
2025-06-26,NSE:QPOWER,mid_cap,SHORT,1445,2025-06-26 14:45:00,680.0,1.2536883354187012,3.357796209793439,727.5,727.5,676.6,47.5,True,2025-06-26 15:10:00,675.7619047619048,time_stop_1510,21,88.99999999999977,15.139450225999997,73.86054977399978
2025-07-02,NSE:QPOWER,mid_cap,SHORT,1440,2025-07-02 14:40:00,668.0499877929688,2.32771635055542,6.867175948743223,678.5,678.5,664.709737854004,10.45001220703125,False,2025-07-02 15:10:00,669.0,time_stop_1510,95,-90.25115966796875,67.489129024682,-157.74028869265075
2025-08-29,NSE:QPOWER,mid_cap,SHORT,1440,2025-08-29 14:40:00,788.1500244140625,2.6640892028808594,4.994207152236039,817.9000244140625,817.9000244140625,784.2092742919922,29.75,True,2025-08-29 14:50:00,786.2393576882102,breakeven_trail,33,63.052001953125,27.61605453173437,35.43594742139063
2025-09-09,NSE:QPOWER,mid_cap,SHORT,1455,2025-09-09 14:55:00,918.9500122070312,1.2833237648010254,5.080203824097886,946.0,946.0,914.3552621459961,27.04998779296875,False,2025-09-09 15:10:00,920.0,time_stop_1510,36,-37.799560546875,35.176088575067865,-72.97564912194287
2025-09-16,NSE:QPOWER,mid_cap,SHORT,1435,2025-09-16 14:35:00,938.7000122070312,1.803898811340332,2.1133640086969714,952.0,952.0,934.0065121459961,13.29998779296875,False,2025-09-16 15:10:00,935.7999877929688,time_stop_1510,75,217.5018310546875,72.16499122641602,145.33683982827148
2025-02-13,NSE:QUADFUTURE,small_cap,SHORT,1430,2025-02-13 14:30:00,573.0499877929688,3.84751558303833,2.966877662176805,618.8499755859375,618.8499755859375,570.1847378540039,45.79998779296875,True,2025-02-13 15:10:00,569.6427450997488,time_stop_1510,21,71.55209655761769,12.759779993348674,58.792316564269015
2025-05-08,NSE:QUADFUTURE,small_cap,SHORT,1445,2025-05-08 14:45:00,450.25,1.411604881286621,2.2736220472440944,466.3999938964844,466.3999938964844,447.99875,16.149993896484375,True,2025-05-08 15:05:00,449.14282786885246,breakeven_trail,61,67.53750000000082,29.161936575275,38.37556342472582
2025-06-24,NSE:QUADFUTURE,small_cap,SHORT,1500,2025-06-24 15:00:00,464.54998779296875,1.1771082878112793,2.559338159255429,472.45001220703125,472.45001220703125,462.22723785400393,7.9000244140625,False,2025-06-24 15:10:00,466.25,time_stop_1510,126,-214.2015380859375,62.30015781826245,-276.50169590419995
2025-07-15,NSE:QUADFUTURE,small_cap,SHORT,1455,2025-07-15 14:55:00,492.0,4.002523422241211,1.596648367523837,507.29998779296875,507.29998779296875,489.54,15.29998779296875,True,2025-07-15 15:10:00,488.0473877140925,time_stop_1510,65,256.9197985839837,33.880460215357914,223.0393383686258
2025-07-18,NSE:QUADFUTURE,small_cap,SHORT,1500,2025-07-18 15:00:00,515.0999755859375,1.3725519180297852,1.5783143031465179,524.2000122070312,524.2000122070312,512.5244757080078,9.10003662109375,False,2025-07-18 15:10:00,515.7999877929688,time_stop_1510,109,-76.30133056640625,59.70468728102478,-136.00601784743102
2025-08-26,NSE:QUADFUTURE,small_cap,SHORT,1500,2025-08-26 15:00:00,404.20001220703125,1.740860939025879,4.0993610795963455,413.95001220703125,413.95001220703125,402.17901214599607,9.75,False,2025-08-26 15:10:00,403.20001220703125,time_stop_1510,102,102.0,43.775056172125495,58.224943827874505
