T1_entry_date,symbol,cap_segment,side,iv_rank,trigger_ts,entry_ts,entry_price,hard_sl,t1_target,t2_target,hit_t1,exit_ts,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl
2024-05-07,NSE:UBL,large_cap,SHORT,0.9137828600628819,2024-05-07 11:00:00,2024-05-07 11:05:00,1991.6,2011.5159999999998,1971.684,1951.768,True,2024-05-07 11:30:00,1981.642,breakeven_trail,19.91599999999994,50,497.8999999999985,105.6250009126,392.2749990873985
2024-06-26,NSE:UBL,large_cap,LONG,0.16733327816272167,2024-06-26 11:00:00,2024-06-26 11:05:00,1995.55,1975.5945,2015.5055,2035.461,False,2024-06-26 13:30:00,1975.5945,stop,19.95550000000003,50,-997.7750000000015,82.31548780834999,-1080.0904878083516
2024-06-28,NSE:UBL,large_cap,LONG,0.15488296322817882,2024-06-28 11:00:00,2024-06-28 11:05:00,1998.95,1978.9605000000001,2018.9395,2038.9289999999999,False,2024-06-28 11:55:00,1978.9605000000001,stop,19.989499999999907,50,-999.4749999999954,82.37531725815,-1081.8503172581454
2024-07-02,NSE:UBL,large_cap,LONG,0.12938470482891778,2024-07-02 11:00:00,2024-07-02 11:05:00,2019.55,1999.3545,2039.7455,2059.941,False,2024-07-02 15:10:00,2030.65,time_stop,20.195500000000038,49,543.9000000000067,82.46778827879999,461.4322117212067
2024-07-05,NSE:UBL,large_cap,LONG,0.12801903932229744,2024-07-05 11:00:00,2024-07-05 11:05:00,2045.35,2024.8964999999998,2065.8035,2086.257,True,2024-07-05 12:20:00,2076.0302500000003,t2,20.453500000000076,48,1472.6520000000055,105.28804899031198,1367.3639510096934
2024-07-15,NSE:UBL,large_cap,LONG,0.16659849092994497,2024-07-15 11:00:00,2024-07-15 11:05:00,2048.5,2028.0149999999999,2068.985,2089.4700000000003,True,2024-07-15 15:10:00,2069.3175,time_stop,20.485000000000127,48,999.2400000000052,105.14509686744,894.0949031325653
2024-08-06,NSE:UBL,large_cap,LONG,0.13994356572151173,2024-08-06 11:00:00,2024-08-06 11:05:00,1986.4,1966.536,2006.2640000000001,2026.1280000000002,True,2024-08-06 14:15:00,1996.332,breakeven_trail,19.864000000000033,50,496.6000000000008,105.8770100596,390.7229899404008
2024-08-22,NSE:UBL,large_cap,LONG,0.12773899893302543,2024-08-22 11:00:00,2024-08-22 11:05:00,2036.6,2016.234,2056.966,2077.332,False,2024-08-22 15:10:00,2025.35,time_stop,20.365999999999985,49,-551.25,82.4494632833,-633.6994632833
2024-08-26,NSE:UBL,large_cap,LONG,0.07237287525765848,2024-08-26 11:00:00,2024-08-26 11:05:00,2002.2,1982.178,2022.222,2042.244,False,2024-08-26 15:10:00,2007.9,time_stop,20.021999999999935,49,279.3000000000022,82.09009722940002,197.2099027706022
2024-08-27,NSE:UBL,large_cap,LONG,0.09065351542528569,2024-08-27 11:00:00,2024-08-27 11:05:00,2008.4,1988.316,2028.4840000000002,2048.568,True,2024-08-27 15:10:00,2030.6860408163268,time_stop,20.08400000000006,49,1092.015999999998,105.29345503369599,986.722544966302
2024-09-09,NSE:UBL,large_cap,LONG,0.12922812103079317,2024-09-09 11:00:00,2024-09-09 11:05:00,2039.85,2019.4515,2060.2484999999997,2080.647,True,2024-09-09 15:10:00,2065.0962040816325,time_stop,20.398500000000013,49,1237.0639999999971,107.02433612378398,1130.0396638762131
2024-09-11,NSE:UBL,large_cap,LONG,0.09714687572198177,2024-09-11 11:00:00,2024-09-11 11:05:00,2092.5,2071.575,2113.425,2134.3500000000004,False,2024-09-11 15:10:00,2080.9,time_stop,20.925000000000182,47,-545.1999999999957,81.9381794188,-627.1381794187957
2024-09-26,NSE:UBL,large_cap,LONG,0.09956803151643037,2024-09-26 11:00:00,2024-09-26 11:05:00,2149.35,2127.8565,2170.8435,2192.337,False,2024-09-26 15:10:00,2152.3,time_stop,21.49350000000004,46,135.70000000001255,82.3192989154,53.380701084612554
2024-11-11,NSE:UBL,large_cap,LONG,0.05756956808788791,2024-11-11 11:00:00,2024-11-11 11:05:00,1927.7,1908.423,1946.977,1966.2540000000001,False,2024-11-11 15:10:00,1910.55,time_stop,19.277000000000044,51,-874.6500000000046,81.8311460545,-956.4811460545046
2024-11-13,NSE:UBL,large_cap,SHORT,0.874997798421373,2024-11-13 11:00:00,2024-11-13 11:05:00,1876.75,1895.5175,1857.9825,1839.2150000000001,True,2024-11-13 15:10:00,1855.4951886792453,time_stop,18.767499999999927,53,1126.5050000000006,105.24080234696999,1021.2641976530306
2024-11-19,NSE:UBL,large_cap,LONG,0.08515210359526842,2024-11-19 11:00:00,2024-11-19 11:05:00,1890.65,1871.7435,1909.5565000000001,1928.4630000000002,False,2024-11-19 14:00:00,1871.7435,stop,18.90650000000005,52,-983.1380000000026,81.80035624557202,-1064.9383562455746
2024-11-27,NSE:UBL,large_cap,LONG,0.0633278419491195,2024-11-27 11:00:00,2024-11-27 11:05:00,1899.35,1880.3564999999999,1918.3435,1937.337,True,2024-11-27 13:45:00,1927.84025,t2,18.99350000000004,52,1481.4930000000031,105.92014105355798,1375.5728589464452
