T0_session_date,sector,leader_symbol,laggard_symbol,leader_cap,laggard_cap,spread_at_entry_bps,spread_at_exit_bps,leader_entry_price,leader_exit_price,leader_qty,leader_realized_pnl,leader_fee,laggard_entry_price,laggard_exit_price,laggard_qty,laggard_realized_pnl,laggard_fee,fee_total,realized_pnl,net_pnl,exit_ts,exit_reason,hit_t1,yyyymm
2023-12-05,NSE_NIFTY_REALTY,NSE:GODREJPROP,NSE:PRESTIGE,large_cap,large_cap,84.83595533701482,-33.49182686742003,1901.9,1873.9499999999998,26,726.7000000000012,52.249179972600004,1084.5,1081.525,46,-136.84999999999582,52.93272583289999,105.1819058055,589.8500000000054,484.6680941945054,2023-12-05 11:45:00,t2,True,2023-12
2023-12-06,NSE_NIFTY_REALTY,NSE:GODREJPROP,NSE:PRESTIGE,large_cap,large_cap,244.4772313037469,312.6356695094301,1914.95,1926.4397000000001,26,-298.7322000000022,53.0419153658732,1039.1,1039.1,48,0.0,53.00966156159999,106.05157692747319,-298.7322000000022,-404.7837769274754,2023-12-06 12:15:00,stop_leader_short,False,2023-12
2023-12-07,NSE_NIFTY_REALTY,NSE:LODHA,NSE:PRESTIGE,large_cap,large_cap,223.85854056257705,-33.36220953934044,895.75,891.5581818181818,55,230.5499999999994,52.2636065417,1080.0,1103.125,46,1063.75,53.4827957925,105.7464023342,1294.2999999999993,1188.5535976657993,2023-12-07 14:30:00,t1_hard_time,True,2023-12
2023-12-08,NSE_NIFTY_REALTY,NSE:PRESTIGE,NSE:LODHA,large_cap,large_cap,174.8529583839442,218.78615072646878,1169.0,1176.014,42,-294.58799999999565,52.30608472672799,910.75,912.15,54,75.59999999999877,52.3181158596,104.62420058632799,-218.98799999999687,-323.6122005863249,2023-12-08 13:40:00,stop_leader_short,False,2023-12
2023-12-11,NSE_NIFTY_REALTY,NSE:GODREJPROP,NSE:PRESTIGE,large_cap,large_cap,183.97601095785475,229.216396814228,1925.0,1922.4,25,64.99999999999773,51.12043611,1168.2,1161.1908,42,-294.3863999999985,51.957411889521595,103.0778479995216,-229.38640000000078,-332.4642479995224,2023-12-11 11:20:00,stop_laggard_long,False,2023-12
2023-12-12,NSE_NIFTY_REALTY,NSE:GODREJPROP,NSE:PRESTIGE,large_cap,large_cap,234.08495670804606,265.46890850626005,1909.75,1904.6,26,133.90000000000236,52.7159093786,1141.7,1134.8498,43,-294.5586000000037,51.98780414380839,104.70371352240839,-160.65860000000134,-265.36231352240975,2023-12-12 11:20:00,stop_laggard_long,False,2023-12
2023-12-13,NSE_NIFTY_REALTY,NSE:GODREJPROP,NSE:PRESTIGE,large_cap,large_cap,444.840817773543,165.92315887739574,1909.85,1921.3091,26,-297.9366000000009,52.900651224059594,1065.1,1101.35,46,1667.5,53.14159332019999,106.04224454425957,1369.563399999999,1263.5211554557395,2023-12-13 12:35:00,stop_leader_short,False,2023-12
2023-12-14,NSE_NIFTY_REALTY,NSE:PRESTIGE,NSE:LODHA,large_cap,large_cap,187.5043305476276,-85.94307147723468,1194.9,1179.0670731707316,41,649.1500000000019,51.7945607059,912.5,925.175,54,684.4500000000006,52.8090716367,104.6036323426,1333.6000000000026,1228.9963676574027,2023-12-14 11:45:00,t2,True,2023-12
2023-12-15,NSE_NIFTY_REALTY,NSE:PHOENIXLTD,NSE:PRESTIGE,large_cap,large_cap,299.45092260866835,109.60358416162275,1185.35,1156.6,42,1207.5,52.4029288314,1131.0,1124.214,44,-298.58400000000256,52.698262798895996,105.101191630296,908.9159999999974,803.8148083697015,2023-12-15 12:55:00,stop_laggard_long,False,2023-12
2023-12-18,NSE_NIFTY_REALTY,NSE:PRESTIGE,NSE:PHOENIXLTD,large_cap,large_cap,148.90200325385462,247.56642858331236,1133.55,1140.3513,44,-299.25720000000365,53.13513265402319,1136.6,1131.45,43,-221.44999999999413,51.8016217669,104.9367544209232,-520.7071999999978,-625.643954420921,2023-12-18 11:40:00,stop_leader_short,False,2023-12
2023-12-19,NSE_NIFTY_REALTY,NSE:PHOENIXLTD,NSE:PRESTIGE,large_cap,large_cap,100.38405997480626,-58.69511782960024,1148.0,1138.3,43,417.10000000000196,52.28888312539999,1139.0,1147.0,43,344.0,52.27398698799999,104.56287011339998,761.100000000002,656.537129886602,2023-12-19 11:35:00,t2,True,2023-12
2023-12-22,NSE_NIFTY_REALTY,NSE:PHOENIXLTD,NSE:ANANTRAJ,large_cap,large_cap,217.36524553482406,307.57524730433914,1140.0,1146.84,43,-294.1199999999965,52.22298817271998,305.9,305.05,163,-138.54999999999444,52.9047462991,105.12773447181998,-432.6699999999909,-537.7977344718109,2023-12-22 11:10:00,stop_leader_short,False,2023-12
2023-12-27,NSE_NIFTY_REALTY,NSE:PRESTIGE,NSE:PHOENIXLTD,large_cap,large_cap,286.87369455135945,338.24481306905295,1129.0,1135.7740000000001,44,-298.05600000000504,52.921851498736004,1128.65,1129.7,44,46.199999999998,52.8095145644,105.731366063136,-251.85600000000704,-357.587366063143,2023-12-27 11:30:00,stop_leader_short,False,2023-12
2023-12-28,NSE_NIFTY_REALTY,NSE:PRESTIGE,NSE:PHOENIXLTD,large_cap,large_cap,99.769479150551,12.79958947182247,1145.4,1139.7837209302324,43,241.5000000000059,52.2440596374,1114.1,1118.3999999999999,44,189.200000000003,52.22082338,104.4648830174,430.7000000000089,326.23511698260893,2023-12-28 14:30:00,t1_hard_time,True,2023-12
