variant,recalc_date,regime,quarter,session_date,T1_entry_date,symbol,bare_symbol,cap_segment,side,entry_ts,entry_price,day_high_so_far,hard_sl,t1_target,t2_target,stop_distance,hit_t1,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl,lane,exit_date,pct_drift
intraday,2025-10-01,rule_launch,Q3_2025,2025-10-03,2025-10-03,NSE:SOBHA,SOBHA,mid_cap,SHORT,2025-10-03 09:30:00,1503.0,1526.5,1525.5449999999998,1487.97,1472.94,22.544999999999845,True,2025-10-03 13:55:00,1480.4550000000002,t1_partial+t2_full,44,991.9799999999982,69.86785686011999,922.1121431398782,primary,,
intraday,2026-01-01,post_rule,Q4_2025,2026-01-02,2026-01-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,2026-01-02 09:30:00,1130.1,1133.2,1141.4009999999998,1118.799,1107.4979999999998,11.30099999999993,True,2026-01-02 14:05:00,1124.4495,t1_partial+be_trail,88,497.24399999999696,105.48583642053599,391.758163579461,primary,,
intraday,2026-01-01,post_rule,Q4_2025,2026-01-02,2026-01-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,2026-01-02 09:30:00,190.39,191.62,192.57809999999998,188.4861,186.58219999999997,2.1880999999999915,False,2026-01-02 10:55:00,192.57809999999998,stop,457,-999.9616999999961,78.13896752111017,-1078.1006675211063,primary,,
intraday,2026-01-01,post_rule,Q4_2025,2026-01-02,2026-01-02,NSE:MGL,MGL,mid_cap,SHORT,2026-01-02 09:30:00,1123.6,1133.2,1138.866,1112.3639999999998,1101.128,15.266000000000076,False,2026-01-02 10:40:00,1138.866,stop,65,-992.290000000005,73.18022590773998,-1065.4702259077449,primary,,
intraday,2026-01-01,post_rule,Q4_2025,2026-01-02,2026-01-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,2026-01-02 09:30:00,1463.7,1472.2,1479.561,1449.063,1434.426,15.860999999999876,False,2026-01-02 10:30:00,1479.561,stop,63,-999.2429999999922,79.985669410858,-1079.2286694108502,primary,,
intraday,2026-04-01,post_rule,Q1_2026,2026-04-02,2026-04-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,2026-04-02 09:30:00,706.25,721.45,716.8437499999999,699.1875,692.125,10.593749999999886,False,2026-04-02 10:00:00,716.8437499999999,stop,94,-995.8124999999893,70.723380387375,-1066.5358803873644,primary,,
intraday,2026-04-01,post_rule,Q1_2026,2026-04-02,2026-04-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,2026-04-02 09:30:00,174.56,174.97,176.3056,172.8144,171.0688,1.745599999999996,False,2026-04-02 12:55:00,176.3056,stop,572,-998.4831999999977,82.6946858744192,-1081.177885874417,primary,,
intraday,2026-04-01,post_rule,Q1_2026,2026-04-02,2026-04-02,NSE:MGL,MGL,mid_cap,SHORT,2026-04-02 09:30:00,931.05,940.75,945.0157499999999,921.7394999999999,912.429,13.965749999999957,False,2026-04-02 11:35:00,945.0157499999999,stop,71,-991.568249999997,70.5225359440595,-1062.0907859440565,primary,,
intraday,2026-04-01,post_rule,Q1_2026,2026-04-02,2026-04-02,NSE:SOBHA,SOBHA,mid_cap,SHORT,2026-04-02 09:30:00,1138.0,1190.0,1155.07,1126.62,1115.24,17.069999999999936,False,2026-04-02 10:30:00,1155.07,stop,58,-990.0599999999963,70.45116323235999,-1060.5111632323562,primary,,
swing,2024-01-01,pre_rule,Q4_2023,2024-01-02,2024-01-02,NSE:SIGNATURE,SIGNATURE,mid_cap,SHORT,,923.0,,,,,18.46,False,,1121.7,t+5_close,54,-10729.800000000003,57.4942778028,-10787.294277802803,primary,2024-01-09,-17.714183828118035
swing,2024-01-01,pre_rule,Q4_2023,2024-01-02,2024-01-02,NSE:CASTROLIND,CASTROLIND,mid_cap,SHORT,,191.7,,,,,3.8339999999999996,False,,180.15,t+5_close,260,3002.9999999999955,51.707193485999994,2951.2928065139954,primary,2024-01-09,6.411323896752696
swing,2024-01-01,pre_rule,Q4_2023,2024-01-02,2024-01-02,NSE:MGL,MGL,mid_cap,SHORT,,1210.0,,,,,24.2,False,,1198.25,t+5_close,41,481.75,52.52309097949998,429.2269090205,primary,2024-01-09,0.9805967035259711
