T0_signal_date,T1_entry_date,symbol,cap_segment,side,side_total_cr,total_qty,t0_volume,vol_ratio_pct,client_names,t0_close,t1_first_open,gap_pct,entry_ts,entry_price,hard_sl,stop_distance,t1_target,t2_target,hit_t1,t1_exit_price,t1_exit_ts,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2023-10-19,2023-10-20,NSE:DCW,small_cap,SHORT,27.9693,4972323,6395171,77.75121259462804,APMS INVESTMENT FUND LTD,58.8,58.4,-0.6802721088435382,2023-10-20 09:25:00,58.75,59.631249999999994,0.8812499999999943,57.868750000000006,56.98750000000001,False,,,2023-10-20 09:50:00,59.631249999999994,stop,1134,-999.3374999999935,70.890188813525,-1070.2276888135184
2024-08-08,2024-08-09,NSE:DCW,small_cap,SHORT,17.5859,2464733,16736194,14.72696241451312,LTS INVESTMENT FUND LTD,70.9,71.81,1.2834978843441425,2024-08-09 09:25:00,73.4,74.501,1.100999999999999,72.299,71.19800000000001,False,,,2024-08-09 10:10:00,74.501,stop,908,-999.7079999999992,70.907721443848,-1070.6157214438472
2024-12-20,2024-12-23,NSE:DIAMONDYD,small_cap,SHORT,63.2796,645677,1136233,56.826108729459534,KOTAK MAHINDRA MUTUAL FUND,1088.15,1086.4,-0.16082341588935511,2024-12-23 09:25:00,1057.4,1073.261,15.860999999999876,1041.5390000000002,1025.6780000000003,False,,,2024-12-23 09:30:00,1073.261,stop,63,-999.2429999999922,70.885716928058,-1070.1287169280502
2024-11-06,2024-11-07,NSE:DODLA,mid_cap,SHORT,10.0035,85500,109901,77.79729028853241,VENKAT KRISHNA REDDY BUSIREDDY,1166.95,1160.0,-0.5955696473713523,2024-11-07 09:25:00,1169.0,1186.5349999999999,17.534999999999854,1151.4650000000001,1133.9300000000003,False,,,2024-11-07 14:30:00,1159.6,time_stop,57,535.8000000000052,70.59256266119999,465.2074373388052
2024-03-06,2024-03-07,NSE:DOLLAR,small_cap,SHORT,24.5,500000,1438622,34.75548128695377,BAJRANG KUMAR GUPTA,529.0,529.0,0.0,2024-03-07 09:25:00,535.0,543.025,8.024999999999977,526.975,518.95,True,526.975,2024-03-07 14:00:00,2024-03-07 14:30:00,526.0125,time_stop,124,1114.4500000000014,70.0373121633,1044.4126878367015
2024-09-13,2024-09-16,NSE:EDELWEISS,mid_cap,SHORT,122.4996,9879000,9083987,108.75180688831898,EDELWEISS EMPLOYEES WELFARE TRUST,125.14,127.95,2.2454850567364515,2024-09-16 09:25:00,135.8,137.837,2.0369999999999777,133.76300000000003,131.72600000000006,True,133.76300000000003,2024-09-16 09:45:00,2024-09-16 10:05:00,132.74450000000004,t2,490,1497.1949999999836,70.09070914783,1427.1042908521536
2024-09-16,2024-09-17,NSE:EDELWEISS,mid_cap,SHORT,34.1,2750000,18719510,14.690555468599339,EDELWEISS EMPLOYEES WELFARE TRUST,130.4,131.9,1.1503067484662566,2024-09-17 09:25:00,127.62,129.5343,1.9142999999999972,125.70570000000001,123.79140000000001,False,,,2024-09-17 09:45:00,129.5343,stop,522,-999.2645999999986,70.8867390733076,-1070.1513390733062
2024-09-25,2024-09-26,NSE:EDELWEISS,mid_cap,SHORT,24.9924,1837000,5095711,36.049925123304675,EDELWEISS EMPLOYEES WELFARE TRUST,133.85,134.0,0.11206574523721091,2024-09-26 09:25:00,135.47,137.50205,2.032049999999998,133.43795,131.4059,True,133.43795,2024-09-26 09:40:00,2024-09-26 13:50:00,134.453975,breakeven_trail,492,499.88429999999954,70.6270834435542,429.2572165564453
2024-12-18,2024-12-19,NSE:EDELWEISS,mid_cap,SHORT,13.726,1000000,8458458,11.822485847893315,EDELWEISS EMPLOYEES WELFARE TRUST,133.7,129.71,-2.984293193717258,2024-12-19 09:25:00,128.54,130.4681,1.9281000000000006,126.61189999999999,124.68379999999999,False,,,2024-12-19 09:35:00,130.4681,stop,518,-998.7558000000004,70.8626618740948,-1069.6184618740951
2024-08-19,2024-08-20,NSE:ETHOSLTD,mid_cap,SHORT,100.38,300000,49675,603.9255158530448,MAHEN DISTRIBUTION LIMITED / MASTER CAPITAL SERVICES LIMITED,3307.9,3296.0,-0.3597448532301484,2024-08-20 09:25:00,3357.1,3407.4565,50.35649999999987,3306.7435,3256.387,True,3306.7435,2024-08-20 10:05:00,2024-08-20 14:30:00,3301.2206052631577,time_stop,19,1061.708499999998,67.343946806649,994.3645531933489
2023-09-15,2023-09-18,NSE:FIVESTAR,mid_cap,SHORT,211.3543,3018700,638329,472.9066045879162,SCHF PV MAURITIUS LIMITED,690.0,696.5,0.9420289855072372,2023-09-18 09:25:00,699.6,710.0939999999999,10.493999999999915,689.1060000000001,678.6120000000002,False,,,2023-09-18 14:30:00,699.3,time_stop,95,28.50000000000648,70.624601073,-42.124601072993514
2024-09-26,2024-09-27,NSE:FIVESTAR,mid_cap,SHORT,1086.1122,13567923,22283499,60.88775824658417,PEAK XV PARTNERS INVESTMENTS V / TPG ASIA VII SF PTE LTD,796.35,805.95,1.2055000941797012,2024-09-27 09:25:00,803.45,815.50175,12.05174999999997,791.3982500000001,779.3465000000001,False,,,2024-09-27 13:30:00,815.50175,stop,82,-988.2434999999975,70.36520365616101,-1058.6087036561585
2024-08-28,2024-08-29,NSE:GMMPFAUDLR,small_cap,SHORT,557.289,4121960,6545803,62.97103655579003,ATREIDES INVESTMENTS B.V. / GERANIUM INVESTMENTS LIMITED,1402.9,1410.0,0.5060945184973908,2024-08-29 09:25:00,1403.75,1424.8062499999999,21.056249999999864,1382.6937500000001,1361.6375000000003,False,,,2024-08-29 10:10:00,1424.8062499999999,stop,47,-989.6437499999936,70.4314656416125,-1060.075215641606
2024-07-11,2024-07-12,NSE:GODREJAGRO,mid_cap,SHORT,331.7132,4146156,236013,1756.7489926402359,R K N ENTERPRISES,809.6,817.8,1.0128458498023685,2024-07-12 09:25:00,812.55,824.7382499999999,12.188249999999925,800.36175,788.1735000000001,False,,,2024-07-12 10:20:00,824.7382499999999,stop,82,-999.4364999999939,70.894873645919,-1070.331373645913
2024-05-22,2024-05-23,NSE:GRANULES,mid_cap,SHORT,303.81,7500000,4025300,186.32151640871487,KRISHNA PRASAD CHIGURUPATI,427.95,430.0,0.4790279238228834,2024-05-23 09:25:00,434.0,440.50999999999993,6.509999999999934,427.49000000000007,420.98000000000013,True,427.49000000000007,2024-05-23 10:35:00,2024-05-23 14:30:00,427.84732026143797,time_stop,153,941.3599999999958,70.17614767184,871.1838523281558
2024-12-20,2024-12-23,NSE:GRANULES,mid_cap,SHORT,190.72639999999998,3200000,3931490,81.39407705475531,DENDANA INVEST MAURITIUS LTD / FIDELITY FUNDS.- INDIA FOCUS FUND / FIDELITY INDIA FUND,591.0,593.9,0.49069373942469685,2024-12-23 09:25:00,589.45,598.29175,8.841749999999934,580.6082500000001,571.7665000000002,True,580.6082500000001,2024-12-23 09:55:00,2024-12-23 10:30:00,585.0682477876106,breakeven_trail,113,495.1379999999963,70.58296815017201,424.5550318498243
2023-05-29,2023-05-30,NSE:GRAVITA,mid_cap,SHORT,180.8,3200000,561680,569.7194131890044,RAJAT AGRAWAL,578.9,577.05,-0.31957160131284024,2023-05-30 09:25:00,580.45,589.15675,8.706749999999943,571.7432500000001,563.0365000000002,True,571.7432500000001,2023-05-30 09:35:00,2023-05-30 14:25:00,576.0966250000001,breakeven_trail,114,496.28474999999673,70.11851432424149,426.1662356757553
2024-05-03,2024-05-06,NSE:GRAVITA,mid_cap,SHORT,70.08,750000,172812,433.99763905284357,RAJAT AGRAWAL,947.8,967.45,2.0732221987761257,2024-05-06 09:25:00,950.5,964.7574999999999,14.257499999999936,936.2425000000001,921.9850000000001,True,936.2425000000001,2024-05-06 09:35:00,2024-05-06 10:15:00,943.37125,breakeven_trail,70,499.0124999999978,70.503909558425,428.5085904415728
2024-03-05,2024-03-06,NSE:HATSUN,mid_cap,SHORT,11.3138,100162,7918,1264.9911593836828,MALABAR VALUE FUND   - AIF,1127.0,1138.8,1.0470275066548407,2024-03-06 09:25:00,1131.65,1148.62475,16.974749999999858,1114.6752500000002,1097.7005000000004,False,,,2024-03-06 14:30:00,1133.95,time_stop,58,-133.39999999999736,69.8146251488,-203.21462514879738
2023-06-01,2023-06-02,NSE:HCG,mid_cap,SHORT,114.4,3575000,831009,430.1999135990104,B S AJAIKUMAR,322.8,323.0,0.06195786864930941,2023-06-02 09:25:00,320.4,325.20599999999996,4.805999999999983,315.594,310.788,True,315.594,2023-06-02 12:05:00,2023-06-02 14:30:00,316.072,time_stop,208,900.2239999999947,70.449832883456,829.7741671165387
