T0_signal_date,symbol,cap_segment,side,side_total_cr,total_qty,t0_volume,vol_ratio_pct,client_names,entry_hhmm,entry_ts,entry_price,hard_sl,stop_distance,t1_target,t2_target,hit_t1,t1_exit_price,t1_exit_ts,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl
2024-08-23,NSE:SEAMECLTD,small_cap,SHORT,41.85,279000,36524,763.8812835395904,NOMURA SINGAPORE LIMITED,14:30,2024-08-23 14:30:00,1500.85,1508.3542499999996,7.504249999999729,1496.34745,1493.34575,True,1496.34745,2024-08-23 14:50:00,2024-08-23 15:05:00,1494.8353154135336,t2,133,799.9530499999923,165.17118386131173,634.7818661386806
2024-08-26,NSE:SEAMECLTD,small_cap,SHORT,28.975,190000,44421,427.72562526732855,NOMURA SINGAPORE LIMITED,14:30,2024-08-26 14:30:00,1518.0,1525.59,7.589999999999918,1513.446,1510.41,True,1513.446,2024-08-26 15:15:00,2024-08-26 15:15:00,1511.9164122137404,t2,131,796.9500000000003,164.90348548429998,632.0465145157003
2023-10-03,NSE:SFL,mid_cap,SHORT,92.9793,834644,76669,1088.6329546492063,WINRO COMMERCIAL INDIA LIMITED,14:30,2023-10-03 14:30:00,1123.8,1129.4189999999999,5.6189999999999145,1120.4286,1118.181,False,,,2023-10-03 15:05:00,1129.4189999999999,stop,177,-994.5629999999849,117.843616944778,-1112.4066169447628
2024-06-26,NSE:SHARDAMOTR,mid_cap,SHORT,499.025,2500000,986890,253.32103881891598,MALA RELAN,14:30,2024-06-26 14:30:00,1032.5,1037.6625,5.162499999999909,1029.4025,1027.3375,True,1029.4025,2024-06-26 14:40:00,2024-06-26 14:45:00,1030.959274611399,breakeven_trail,193,297.36000000000786,165.08423042184,132.27576957816785
2023-11-28,NSE:SHAREINDIA,small_cap,SHORT,68.48,400000,469125,85.26512123634426,PARVEEN GUPTA,14:30,2023-11-28 14:30:00,344.25,345.97124999999994,1.7212499999999409,343.21725,342.52875,True,343.21725,2023-11-28 14:55:00,2023-11-28 15:00:00,343.733625,breakeven_trail,580,299.4975000000062,165.22335005151498,134.2741499484912
2024-12-18,NSE:SHOPERSTOP,mid_cap,SHORT,275.8882,4395924,394535,1114.2038095479488,AMAZON.COM NV INVESTMENT HOLDINGS LLC,14:30,2024-12-18 14:30:00,635.6,638.7779999999999,3.1779999999998836,633.6932,632.422,True,633.6932,2024-12-18 15:00:00,2024-12-18 15:05:00,634.6466,breakeven_trail,314,299.3675999999962,165.19263208835437,134.1749679116418
2024-11-22,NSE:SHREEPUSHK,small_cap,SHORT,11.3924,426683,14208,3003.117961711712,INDIA MAX INVESTMENT FUND LTD,14:30,2024-11-22 14:30:00,270.5,271.85249999999996,1.3524999999999636,269.6885,269.1475,True,269.6885,2024-11-22 14:35:00,2024-11-22 14:35:00,269.4176339648173,t2,739,799.8685000000163,165.27282545788904,634.5956745421272
2023-12-20,NSE:SHRIPISTON,mid_cap,SHORT,430.404,3900000,143372,2720.196412130681,K S KOLBENSCHMIDT GMBH,14:30,2023-12-20 14:30:00,1158.75,1164.5437499999998,5.793749999999818,1155.27375,1152.95625,False,,,2023-12-20 15:25:00,1158.75,time_stop,172,0.0,117.91580566000002,-117.91580566000002
2024-09-06,NSE:SHRIPISTON,mid_cap,SHORT,289.25739999999996,1321000,324683,406.8583818678526,LUV D. SHRIRAM / MEENAKSHI DASS,14:30,2024-09-06 14:30:00,2224.6,2235.7229999999995,11.122999999999593,2217.9262,2213.477,False,,,2024-09-06 15:25:00,2229.95,time_stop,89,-476.1499999999919,117.48111035970001,-593.6311103596919
2023-03-31,NSE:SHRIRAMPPS,small_cap,SHORT,133.5492,24259615,4312085,562.5959367684079,WSI WSQI V (XXXII) MAURITIUS INVESTORS LIMITED,14:30,2023-03-31 14:30:00,63.45,63.76725,0.31724999999999426,63.25965,63.13275,False,,,2023-03-31 14:35:00,63.76725,stop,3152,-999.9719999999819,118.22781716543201,-1118.1998171654138
