dims,k,cell,n,pf,wr,net,sharpe,n_months,win_mo_pct,lose_mo_pct,top_mo_pct
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Mar | entry_hour_bucket=10:00,5485,0.78802406331138,48.71467639015497,-632211.8910539786,-0.9809277392149,2,0.0,100.0,59.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Mar | entry_hour_bucket=11:00,2837,0.7080487559084261,46.95100458230525,-454251.39753806614,-0.8643637551845166,2,0.0,100.0,57.2
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Mar | entry_hour_bucket=12:00,1676,0.6773084114357258,45.64439140811456,-294400.1443221112,-1.0251904897624808,2,0.0,100.0,55.0
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Mar | entry_hour_bucket=13:00,1054,0.7832562640447095,48.19734345351044,-109760.03481424578,-0.4484445099043186,2,0.0,100.0,62.2
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Mar | entry_hour_bucket=14:00,915,0.5938539626889353,40.87431693989071,-168839.5493253108,-1.0732062727765004,2,0.0,100.0,70.8
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Mar | entry_hour_bucket=15:00,170,0.3790882002848392,30.58823529411765,-33045.497055544525,-0.6642651336094306,2,0.0,100.0,79.0
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=May | entry_hour_bucket=09:00,5982,0.862761224555595,51.40421263791374,-413460.1321777684,-0.45520029874247164,2,0.0,100.0,52.7
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=May | entry_hour_bucket=10:00,6289,0.7725728397486922,48.40197169661313,-773758.8242873407,-0.8371246842790938,2,0.0,100.0,57.5
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=May | entry_hour_bucket=11:00,3135,0.7281245328885846,47.84688995215311,-454260.09125639463,-0.7872959181112527,2,0.0,100.0,50.2
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=May | entry_hour_bucket=12:00,1815,0.5768484038345689,42.75482093663912,-432235.6116010825,-1.4965134444603476,2,0.0,100.0,50.5
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=May | entry_hour_bucket=13:00,1081,0.5653831321896693,40.70305272895467,-254899.00166986333,-1.295780504525139,2,0.0,100.0,65.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=May | entry_hour_bucket=14:00,910,0.5289855213953097,36.92307692307693,-195792.99986195652,-1.1560118245133064,2,0.0,100.0,52.6
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=May | entry_hour_bucket=15:00,192,0.29301484921149273,26.5625,-46954.26937513734,-0.9986520315304422,2,0.0,100.0,58.0
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Nov | entry_hour_bucket=09:00,5545,0.697985769277564,46.92515779981966,-930784.503738827,-0.9542567167155784,2,0.0,100.0,65.6
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Nov | entry_hour_bucket=10:00,6633,0.6995827278708033,46.826473692145335,-1114642.544159421,-1.278584306590264,2,0.0,100.0,64.3
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Nov | entry_hour_bucket=11:00,3077,0.6595767336660838,45.69385765355866,-591112.7409036863,-0.8191983828603228,2,0.0,100.0,64.3
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Nov | entry_hour_bucket=12:00,1683,0.6454713804578892,44.32560903149139,-330872.54524410085,-1.16860864227412,2,0.0,100.0,52.7
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Nov | entry_hour_bucket=13:00,1036,0.6149607728024219,42.95366795366795,-207368.01675153887,-0.9545585489512809,2,0.0,100.0,50.3
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Nov | entry_hour_bucket=14:00,716,0.509497804512246,37.56983240223464,-161866.01611261076,-1.4144115547944907,2,0.0,100.0,63.8
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Nov | entry_hour_bucket=15:00,125,0.3496672598793965,32.800000000000004,-27791.152719350288,-0.7272148174184954,2,0.0,100.0,81.1
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Oct | entry_hour_bucket=09:00,5951,0.7909629294415437,50.02520584775668,-655692.154658989,-0.52842037755124,2,0.0,100.0,70.8
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Oct | entry_hour_bucket=10:00,7307,0.7812977567325682,49.2815108799781,-853304.3792649553,-0.6641553583830286,2,0.0,100.0,50.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Oct | entry_hour_bucket=11:00,3418,0.7117479212910574,47.54242246928028,-539780.5416463162,-0.9596475315154742,2,0.0,100.0,64.0
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Oct | entry_hour_bucket=12:00,1920,0.7073923847832723,46.40625,-301921.5955829582,-0.8104190560489223,2,0.0,100.0,72.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Oct | entry_hour_bucket=13:00,1072,0.5837919677659617,40.76492537313433,-245978.94106349855,-1.0490712781764102,2,0.0,100.0,58.1
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Oct | entry_hour_bucket=14:00,800,0.5959603911784931,40.25,-145872.9991473619,-0.768942778768809,2,0.0,100.0,57.2
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Oct | entry_hour_bucket=15:00,146,0.2679474208274021,28.08219178082192,-35511.05260063417,-0.868084155387465,2,0.0,100.0,56.3
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Sep | entry_hour_bucket=09:00,6109,0.8277826132857617,50.6138484203634,-546194.8149602392,-0.3625428311965845,2,0.0,100.0,64.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Sep | entry_hour_bucket=10:00,6577,0.748241470928453,48.31990269119659,-903445.2568864161,-1.196260918124642,2,0.0,100.0,53.4
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Sep | entry_hour_bucket=11:00,3013,0.6827597491439558,45.83471622967142,-533165.6791622334,-1.1254305898666175,2,0.0,100.0,53.5
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Sep | entry_hour_bucket=12:00,1755,0.6212902510017563,44.27350427350427,-373673.572513757,-1.0793561748769949,2,0.0,100.0,52.0
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Sep | entry_hour_bucket=13:00,1141,0.5649569507311183,40.84136722173532,-267253.2936764037,-1.2131824681766952,2,0.0,100.0,63.2
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Sep | entry_hour_bucket=14:00,757,0.5759791934940105,40.158520475561424,-142432.03270508628,-0.8200041546915617,2,0.0,100.0,58.6
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=0.5-1% | month=Sep | entry_hour_bucket=15:00,140,0.3821429490157945,31.428571428571427,-27585.255376147557,-0.6561519168413231,2,0.0,100.0,52.6
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Apr | entry_hour_bucket=09:00,2483,0.876893648732937,49.536850583971,-141322.7255095302,-0.2856209642228733,2,0.0,100.0,80.9
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Apr | entry_hour_bucket=10:00,1203,0.791154781306975,47.880299251870326,-122512.50431261113,-0.5894079586277664,2,0.0,100.0,69.7
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Apr | entry_hour_bucket=11:00,418,0.7313530451137887,46.411483253588514,-53054.290066914444,-0.4095123123412818,2,0.0,100.0,86.6
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Apr | entry_hour_bucket=12:00,218,0.6245007738960356,44.4954128440367,-39618.07491549466,-0.5475007834551617,2,0.0,100.0,62.7
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Apr | entry_hour_bucket=13:00,163,0.6213522206704482,41.104294478527606,-27681.06490124647,-0.44181190406316395,2,0.0,100.0,66.9
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Apr | entry_hour_bucket=14:00,161,0.5716039546477775,37.88819875776397,-24852.59074810984,-0.496778076178627,2,0.0,100.0,53.9
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Apr | entry_hour_bucket=15:00,34,0.22789237245474664,20.588235294117645,-7847.915980845231,-0.8128981902790026,2,0.0,100.0,59.5
"R_size_bucket,month,entry_hour_bucket",3,R_size_bucket=1-2% | month=Aug | entry_hour_bucket=09:00,3428,0.7452726438289763,45.682613768961495,-446355.0298082453,-0.6121307861832167,2,0.0,100.0,74.4
