dims,k,cell,n,pf,wr,net,sharpe,n_months,win_mo_pct,lose_mo_pct,top_mo_pct
"rsi_severity,rsi_severity_fine,R_size_bucket",3,rsi_severity=deep | rsi_severity_fine=S80-85 | R_size_bucket=3%+,1125,1.2592919414391217,58.84444444444444,65907.32862216182,0.1811572915650679,13,76.9,23.1,27.1
"rsi_severity_fine,R_size_bucket,confirmation_lag_min",3,rsi_severity_fine=S80-85 | R_size_bucket=3%+ | confirmation_lag_min=<=15,1125,1.2592919414391217,58.84444444444444,65907.32862216182,0.1811572915650679,13,76.9,23.1,27.1
"direction,rsi_severity,R_size_bucket",3,direction=short | rsi_severity=deep | R_size_bucket=3%+,2297,1.259101190567933,57.55333043099695,140915.73656568787,0.22215092118372015,13,76.9,23.1,23.0
"rsi_severity_fine,R_size_bucket",2,rsi_severity_fine=S85+ | R_size_bucket=3%+,1172,1.2589338157786099,56.31399317406144,75008.40794352606,0.17492678805732256,13,76.9,23.1,28.8
"direction,rsi_severity_fine,R_size_bucket",3,direction=short | rsi_severity_fine=S85+ | R_size_bucket=3%+,1172,1.2589338157786099,56.31399317406144,75008.40794352606,0.17492678805732256,13,76.9,23.1,28.8
"rsi_severity,rsi_severity_fine,R_size_bucket",3,rsi_severity=deep | rsi_severity_fine=S85+ | R_size_bucket=3%+,1172,1.2589338157786099,56.31399317406144,75008.40794352606,0.17492678805732256,13,76.9,23.1,28.8
"rsi_severity_fine,R_size_bucket,confirmation_lag_min",3,rsi_severity_fine=S85+ | R_size_bucket=3%+ | confirmation_lag_min=<=15,1172,1.2589338157786099,56.31399317406144,75008.40794352606,0.17492678805732256,13,76.9,23.1,28.8
"cap_segment,rsi_severity_fine,month",3,cap_segment=small_cap | rsi_severity_fine=L<15 | month=Mar,151,1.258548560615004,53.64238410596026,12946.767298152161,0.20303039528377073,1,100.0,0.0,100.0
"cap_segment,rsi_severity_fine,dow",3,cap_segment=small_cap | rsi_severity_fine=S85+ | dow=Thu,574,1.2572608321960463,56.09756097560976,48376.047155034714,0.2669935293104224,13,61.5,38.5,29.7
"rsi_severity_fine,dow,quarter",3,rsi_severity_fine=S75-80 | dow=Thu | quarter=Q4,907,1.254651103464878,57.99338478500551,74644.15894724113,0.23046088738896323,3,33.3,66.7,138.4
"rsi_severity_fine,dow,quarter",3,rsi_severity_fine=L<15 | dow=Tue | quarter=Q1,432,1.2536237784197977,54.39814814814815,39916.135064777714,0.13765125416086826,3,66.7,33.3,184.9
"cap_segment,rsi_severity_fine,R_size_bucket",3,cap_segment=large_cap | rsi_severity_fine=S80-85 | R_size_bucket=3%+,143,1.2532835564995977,60.83916083916085,7858.759962478446,0.09543540958694352,13,69.2,30.8,53.6
"cap_segment,R_size_bucket,quarter",3,cap_segment=small_cap | R_size_bucket=3%+ | quarter=Q2,946,1.253230015839813,57.505285412262154,45233.87060078191,0.1332213964750116,3,66.7,33.3,57.2
"tod_bucket,dow,month",3,tod_bucket=mid | dow=Fri | month=Apr,176,1.2529627361657834,53.40909090909091,14764.584313875863,0.20663035774156596,1,100.0,0.0,100.0
"rsi_severity_fine,dow,month",3,rsi_severity_fine=L15-20 | dow=Mon | month=Aug,158,1.252756047671247,56.32911392405063,13187.381477804152,0.3194395786831937,1,100.0,0.0,100.0
"rsi_severity_fine,R_size_bucket,month",3,rsi_severity_fine=S80-85 | R_size_bucket=1-2% | month=Jan,340,1.2526713027099319,55.58823529411765,30879.642945743617,0.1665209568416425,1,100.0,0.0,100.0
"direction,cap_segment,month",3,direction=short | cap_segment=small_cap | month=Nov,1066,1.2522330502107148,57.410881801125704,85859.5148706389,0.26249261244550265,1,100.0,0.0,100.0
"rsi_severity_fine,dow",2,rsi_severity_fine=S85+ | dow=Thu,1314,1.251893668399106,56.16438356164384,108609.47784542223,0.3247763439428679,13,84.6,15.4,24.5
"direction,rsi_severity_fine,dow",3,direction=short | rsi_severity_fine=S85+ | dow=Thu,1314,1.251893668399106,56.16438356164384,108609.47784542223,0.3247763439428679,13,84.6,15.4,24.5
"rsi_severity,rsi_severity_fine,dow",3,rsi_severity=deep | rsi_severity_fine=S85+ | dow=Thu,1314,1.251893668399106,56.16438356164384,108609.47784542223,0.3247763439428679,13,84.6,15.4,24.5
"rsi_severity_fine,dow,confirmation_lag_min",3,rsi_severity_fine=S85+ | dow=Thu | confirmation_lag_min=<=15,1314,1.251893668399106,56.16438356164384,108609.47784542223,0.3247763439428679,13,84.6,15.4,24.5
"cap_segment,rsi_severity_fine,R_size_bucket",3,cap_segment=mid_cap | rsi_severity_fine=L20-25 | R_size_bucket=3%+,347,1.2518597557270716,54.17867435158501,16735.834569378825,0.09250208620817199,13,61.5,38.5,63.5
"rsi_severity_fine,month",2,rsi_severity_fine=L15-20 | month=Jun,596,1.2510454230663086,54.194630872483216,40159.705903213304,0.16343614689052338,1,100.0,0.0,100.0
"direction,rsi_severity_fine,month",3,direction=long | rsi_severity_fine=L15-20 | month=Jun,596,1.2510454230663086,54.194630872483216,40159.705903213304,0.16343614689052338,1,100.0,0.0,100.0
"rsi_severity,rsi_severity_fine,month",3,rsi_severity=deep | rsi_severity_fine=L15-20 | month=Jun,596,1.2510454230663086,54.194630872483216,40159.705903213304,0.16343614689052338,1,100.0,0.0,100.0
"rsi_severity_fine,month,quarter",3,rsi_severity_fine=L15-20 | month=Jun | quarter=Q2,596,1.2510454230663086,54.194630872483216,40159.705903213304,0.16343614689052338,1,100.0,0.0,100.0
"rsi_severity_fine,month,confirmation_lag_min",3,rsi_severity_fine=L15-20 | month=Jun | confirmation_lag_min=<=15,596,1.2510454230663086,54.194630872483216,40159.705903213304,0.16343614689052338,1,100.0,0.0,100.0
"rsi_severity_fine,dow,month",3,rsi_severity_fine=S85+ | dow=Thu | month=Nov,122,1.2494599075466513,58.19672131147541,10002.794648805731,0.2902198450381337,1,100.0,0.0,100.0
