T0_signal_date,T1_entry_date,symbol,cap_segment,t0_pct_change,t0_vol_ratio_20d,t0_close,t1_open,t1_high,gap_pct,entry_price,hard_sl,t1_target,t2_target,exit_price,exit_reason,stop_distance,qty,realized_pnl,fee,net_pnl
2024-04-03,2024-04-04,NSE:IFCI,mid_cap,4.9255441008018375,3.1051386150163958,45.8,46.65,47.8,1.8558951965065518,45.15,48.038999999999994,46.65,45.8,45.8,t2_full_gap_fill,2.888999999999996,346,-224.89999999999952,16.697916992199996,-241.59791699219952
2024-04-23,2024-04-24,NSE:IFCI,mid_cap,9.892729439809301,2.5420683909634607,46.1,47.9,48.55,3.90455531453362,47.55,48.79274999999999,47.9,46.1,47.15,eod,1.2427499999999938,804,321.5999999999989,40.4959911528,281.1040088471989
2024-05-02,2024-05-03,NSE:IFCI,mid_cap,9.999999999999986,2.8047439946315857,50.05,52.0,55.05,3.8961038961039085,53.85,55.32524999999999,52.0,50.05,52.55,eod,1.4752499999999884,677,880.1000000000029,38.3754731168,841.7245268832029
2024-02-23,2024-02-26,NSE:INDOSTAR,small_cap,4.791830322073842,2.122118294413649,200.1,210.1,210.1,4.997501249375302,210.1,212.201,210.1,200.1,210.1,eod,2.100999999999999,475,0.0,82.60935057,-82.60935057
2024-02-26,2024-02-27,NSE:INDOSTAR,small_cap,4.997501249375302,2.862128077490356,210.1,217.1,220.6,3.331746787244172,220.6,222.80599999999998,217.1,210.1,220.6,eod,2.205999999999989,453,0.0,82.6570018216,-82.6570018216
2024-02-27,2024-02-28,NSE:INDOSTAR,small_cap,4.997620180866247,2.681337305090427,220.6,231.6,231.6,4.98640072529466,226.0,232.75799999999998,231.6,220.6,220.6,t2_full_gap_fill,6.757999999999981,147,793.8000000000009,34.9742281812,758.8257718188008
2024-04-04,2024-04-05,NSE:INDOSTAR,small_cap,4.9943246311010325,4.551047935928663,231.25,238.0,259.5,2.9189189189189113,232.8,260.79749999999996,238.0,231.25,248.25,eod,27.997499999999945,35,-540.7499999999995,8.8876674705,-549.6376674704995
2024-02-06,2024-02-07,NSE:INDOTECH,small_cap,4.55919981391022,1.8707706760268865,899.0,935.0,938.0,4.004449388209119,906.0,942.6899999999999,935.0,899.0,899.0,t2_full_gap_fill,36.68999999999994,27,189.0,25.91886141,163.08113859
2024-04-19,2024-04-22,NSE:INDOTECH,small_cap,9.997460962295278,6.635252372530532,1732.9,1819.5,1819.5,4.997403196953076,1819.5,1837.695,1819.5,1732.9,1819.5,eod,18.194999999999936,54,0.0,82.06134343599999,-82.06134343599999
2024-07-02,2024-07-03,NSE:INDOTECH,small_cap,4.998518518518513,1.669296390966371,1771.85,1860.4,1860.4,4.997601377091754,1804.0,1869.702,1860.4,1771.85,1833.0,eod,65.702,15,-435.0,28.94300433,-463.94300433
2024-07-12,2024-07-15,NSE:INDOTECH,small_cap,4.9813379270743585,1.528810893757364,1828.25,1890.2,1919.65,3.388486257349932,1919.65,1938.8465,1890.2,1828.25,1919.65,eod,19.196500000000015,52,0.0,82.6179725016,-82.6179725016
2024-09-25,2024-09-26,NSE:INDOTECH,small_cap,4.782967838205132,1.938956492234612,1966.2,2015.0,2020.0,2.481944868273822,1934.8,2030.0999999999997,2015.0,1966.2,1966.2,t2_full_gap_fill,95.29999999999973,10,-314.0000000000009,20.69560806,-334.6956080600009
2024-10-11,2024-10-14,NSE:INDOTECH,small_cap,4.99834069384526,1.5195941975194087,2056.55,2159.35,2159.35,4.99866280907344,2159.35,2180.9435,2159.35,2056.55,2159.35,eod,21.59349999999995,46,0.0,82.44351144120002,-82.44351144120002
2024-10-16,2024-10-17,NSE:INDOTECH,small_cap,4.9993384201473035,3.732873513668858,2380.65,2499.65,2499.65,4.998634826622972,2499.65,2524.6465000000003,2499.65,2380.65,2499.65,eod,24.996500000000196,40,0.0,82.676232632,-82.676232632
